Name,D,R2,POAV_VF,Topology,Topology_manually_updated
05001N2_ddec,5.44E-06,0.785708095,0.63926,hcb,FALSE
07000N2_ddec,2.31E-05,0.908721303,0.7068,hcb,FALSE
07002N2_ddec,2.19E-05,0.917910553,0.54746,hcb,FALSE
08011N2_ddec,2.65E-05,0.901064225,0.2006,hcb,FALSE
08012N2_ddec,1.20E-05,0.955854919,0.32692,hcb,FALSE
08013N2_ddec,6.67E-05,0.930221982,0.53508,hcb,FALSE
08030N2_ddec,2.55E-05,0.909197447,0.67602,hcb,FALSE
10000N2_ddec,6.18E-07,0.833487696,0.34408,hcb,FALSE
10010N2_ddec,7.46E-05,0.94720029,0.52754,fes,FALSE
10020N2_ddec,6.08E-08,0.806681789,0.54076,hcb,FALSE
11002N2_ddec,2.15E-06,0.880800487,0.69202,hcb,FALSE
11003N2_ddec,4.25E-08,0.810271184,0.41274,hcb,FALSE
11040N2_ddec,1.73E-05,0.89358287,0.77312,hcb,FALSE
12000N2_ddec,7.70E-07,0.943035312,0.5163,hcb,FALSE
12001N2_ddec,6.62E-06,0.820495478,0.3813,hcb,FALSE
12010N2_ddec,0.000100395,0.988970376,0.5998,fes,FALSE
12040N2_ddec,8.09E-06,0.918675399,0.58882,hca,FALSE
12050N2_ddec,5.66E-05,0.858936786,0.39982,hcb,FALSE
13010N2_ddec,2.13E-05,0.95680218,0.62502,hca,FALSE
13012N2_ddec,3.66E-06,0.91314105,0.69634,hca,FALSE
13020N2_ddec,4.71E-05,0.929903781,0.81714,hcb,TRUE
13050N2_ddec,1.18E-05,0.764358406,0.5884,hcb,FALSE
13060N2_ddec,2.30E-07,0.845802533,0.4932,sql,FALSE
13070N2_ddec,1.15E-05,0.914083124,0.55786,hcb,FALSE
13071N2_ddec,1.11E-05,0.778980538,0.57456,hcb,FALSE
13072N2_ddec,1.47E-05,0.878701406,0.6041,hcb,FALSE
13073N2_ddec,2.45E-05,0.741776974,0.55144,hcb,FALSE
13074N2_ddec,2.27E-06,0.756548303,0.51706,hcb,FALSE
13075N2_ddec,9.03E-06,0.883408893,0.49078,hcb,FALSE
13076N2_ddec,6.09E-06,0.884937733,0.44922,hcb,FALSE
13077N2_ddec,7.46E-06,0.773685853,0.444,hcb,FALSE
13080N2_ddec,7.59E-06,0.733630724,0.5036,hcb,TRUE
13100N2_ddec,4.72E-06,0.799487869,0.64208,sql,FALSE
13121N2_ddec,6.30E-06,0.79218498,0.61806,hcb,FALSE
13122N2_ddec,6.21E-05,0.876628944,0.69878,hcb,FALSE
13130N2_ddec,2.96E-05,0.899025537,0.7696,hcb,FALSE
13150N2_ddec,2.22E-06,0.798671942,0.62968,hcb,FALSE
13190N2_ddec,1.18E-05,0.913194346,0.30174,hca,FALSE
13191N2_ddec,5.75E-06,0.763917687,0.548,hca,FALSE
14070N2_ddec,7.41E-05,0.949939619,0.66696,sql,FALSE
14071N2_ddec,2.19E-05,0.987701131,0.64428,sql,FALSE
14072N2_ddec,2.99E-06,0.942928622,0.66502,sql,FALSE
14080N2_ddec,8.24E-06,0.897670268,0.74284,hcb,FALSE
14090N2_ddec,2.89E-05,0.924636101,0.67088,hcb,FALSE
14091N2_ddec,7.15E-06,0.807038268,0.67372,hcb,FALSE
15010N2_ddec,1.46E-05,0.924816602,0.63142,sql,FALSE
15020N2_ddec,2.77E-06,0.85434973,0.7001,fes,FALSE
15021N2_ddec,2.48E-05,0.981041243,0.63894,fes,FALSE
15030N2_ddec,6.46E-06,0.797843249,0.59972,hcb,FALSE
15031N2_ddec,3.24E-05,0.951130312,0.6867,hcb,FALSE
15040N2_ddec,8.22E-06,0.960549023,0.4761,hcb,FALSE
15060N2_ddec,7.16E-06,0.96810441,0.50406,hcb,FALSE
15061N2_ddec,2.68E-05,0.988144544,0.56864,hcb,FALSE
15070N2_ddec,1.22E-05,0.907335015,0.69374,hcb,FALSE
15071N2_ddec,1.25E-06,0.898187414,0.68588,hcb,FALSE
15090N2_ddec,4.05E-05,0.901212183,0.58098,fes,FALSE
15100N2_ddec,3.71E-05,0.890238028,0.7258,hcb,FALSE
15101N2_ddec,2.04E-05,0.857799538,0.57144,hcb,FALSE
15110N2_ddec,2.79E-05,0.947140664,0.67686,hca,FALSE
15111N2_ddec,4.39E-06,0.749188815,0.64552,hca,FALSE
15131N2_ddec,3.79E-06,0.891450969,0.71448,hca,FALSE
15150N2_ddec,5.71E-07,0.901272579,0.55674,fes,FALSE
15160N2_ddec,1.39E-07,0.708600807,0.1907,hcb,FALSE
15162N2_ddec,1.27E-05,0.940777499,0.42296,hcb,FALSE
15170N2_ddec,5.48E-06,0.968470076,0.40058,hxl,FALSE
15186N2_ddec,1.56E-05,0.905068867,0.7669,hcb,FALSE
15210N2_ddec,2.12E-05,0.846875126,0.62538,hcb,FALSE
15220N2_ddec,5.87E-07,0.904817151,0.48866,hcb,TRUE
15240N2_ddec,5.85E-06,0.831654227,0.63382,hcb,FALSE
15250N2_ddec,8.51E-06,0.71142054,0.6896,hcb,FALSE
15251N2_ddec,1.72E-05,0.923286882,0.6948,hcb,FALSE
15252N2_ddec,2.11E-05,0.945512657,0.67784,hcb,FALSE
15253N2_ddec,1.76E-05,0.902400747,0.65116,hcb,FALSE
16000N2_ddec,5.11E-05,0.956677068,0.70986,hca,FALSE
16001N2_ddec,1.84E-06,0.838520078,0.73554,hca,FALSE
16002N2_ddec,2.52E-06,0.845689547,0.72314,hca,FALSE
16010N2_ddec,7.49E-07,0.959106114,0.50032,hcb,FALSE
16011N2_ddec,7.18E-07,0.919965308,0.6913,hcb,FALSE
16020N2_ddec,4.63E-08,0.881322687,0.51552,hcb,FALSE
16030N2_ddec,2.91E-06,0.852587829,0.68088,hcb,FALSE
16031N2_ddec,2.42E-05,0.779453476,0.65176,hcb,FALSE
16032N2_ddec,4.08E-05,0.971865404,0.61728,hcb,FALSE
16040N2_ddec,3.08E-05,0.935695493,0.17158,sql,TRUE
16053N2_ddec,1.25E-06,0.872163072,0.64724,hcb,FALSE
16055N2_ddec,1.28E-05,0.927227794,0.64878,hcb,FALSE
16060N2_ddec,1.43E-06,0.859175752,0.53102,sql,TRUE
16080N2_ddec,3.78E-06,0.957394969,0.64898,brick-wall,TRUE
16120N2_ddec,1.46E-05,0.792452453,0.5196,hcb,FALSE
16140N2_ddec,2.11E-05,0.979630171,0.56798,kgm,FALSE
16142N2_ddec,2.86E-06,0.933441461,0.71482,hcb,FALSE
16150N2_ddec,1.03E-07,0.779651672,0.63274,hcb,FALSE
16160N2_ddec,2.29E-06,0.724648939,0.56436,hcb,FALSE
16170N2_ddec,1.54E-05,0.905645936,0.61308,sql,FALSE
16171N2_ddec,0.000245156,0.951946254,0.58356,sql,FALSE
16172N2_ddec,5.71E-05,0.964586943,0.69752,sql,FALSE
16174N2_ddec,4.37E-06,0.78793037,0.72232,sql,FALSE
16190N2_ddec,1.89E-07,0.760346923,0.32178,hcb,FALSE
16210N2_ddec,4.85E-05,0.959053789,0.54214,hcb,FALSE
16211N2_ddec,3.65E-06,0.75263371,0.5484,hcb,FALSE
16271N2_ddec,2.34E-06,0.865970062,0.61956,kgm,FALSE
16272N2_ddec,3.69E-05,0.953571644,0.6875,kgm,FALSE
16310N2_ddec,4.91E-06,0.914193361,0.20988,fes,FALSE
16311N2_ddec,3.13E-05,0.933623877,0.1963,fes,FALSE
16312N2_ddec,1.99E-05,0.813781191,0.60124,fes,FALSE
16331N2_ddec,9.91E-06,0.893924164,0.70554,hcb,FALSE
16340N2_ddec,3.07E-06,0.899675172,0.4693,fes,FALSE
16360N2_ddec,5.79E-06,0.730884439,0.62694,hcb,FALSE
16361N2_ddec,4.29E-06,0.872246598,0.73028,hcb,FALSE
16400N2_ddec,8.23E-06,0.983392721,0.6448,kgm,FALSE
16450N2_ddec,4.58E-06,0.922682126,0.62604,fes,FALSE
16460N2_ddec,6.89E-06,0.947084919,0.69236,hcb,FALSE
16480N2_ddec,6.18E-06,0.742794226,0.59646,hcb,FALSE
16481N2_ddec,3.19E-08,0.750149108,0.5909,hcb,FALSE
16510N2_ddec,2.02E-05,0.816558021,0.39318,hxl,FALSE
17000N2_ddec,2.03E-05,0.737566714,0.58622,fes,FALSE
17020N2_ddec,2.23E-06,0.830000558,0.62298,hcb,FALSE
17030N2_ddec,1.26E-06,0.846456975,0.70154,hcb,FALSE
17040N2_ddec,0.000129943,0.986633329,0.4883,sql,TRUE
17060N2_ddec,6.87E-06,0.906105949,0.41086,kgd,FALSE
17061N2_ddec,2.13E-05,0.946636342,0.2249,kgd,FALSE
17100N2_ddec,0.000101754,0.907786202,0.66952,hcb,FALSE
17130N2_ddec,5.71E-06,0.841786257,0.60578,fxt,FALSE
17131N2_ddec,3.21E-06,0.947371172,0.51706,fxt,FALSE
17140N2_ddec,1.66E-05,0.844654717,0.61722,hcb,FALSE
17150N2_ddec,2.95E-05,0.890038058,0.65088,hcb,FALSE
17151N2_ddec,1.21E-06,0.796492717,0.60686,hcb,FALSE
17152N2_ddec,6.22E-06,0.731657003,0.63712,hcb,FALSE
17154N2_ddec,5.72E-06,0.829082642,0.58644,hcb,FALSE
17180N2_ddec,1.01E-05,0.742208271,0.5724,hcb,FALSE
17190N2_ddec,9.40E-06,0.921937594,0.61496,hcb,FALSE
17191N2_ddec,1.89E-05,0.962246673,0.57558,hcb,FALSE
17230N2_ddec,5.36E-05,0.956152038,0.40178,bex,FALSE
17250N2_ddec,9.96E-06,0.79493196,0.64324,hcb,FALSE
18031N2_ddec,1.42E-05,0.962591196,0.43142,sql,FALSE
18032N2_ddec,9.64E-05,0.92016824,0.38016,sql,FALSE
18033N2_ddec,8.94E-05,0.951415985,0.4269,sql,FALSE
18060N2_ddec,1.97E-06,0.755631219,0.4219,hcb,FALSE
18061N2_ddec,1.75E-05,0.865276894,0.44426,hcb,FALSE
18070N2_ddec,2.15E-05,0.886616335,0.28572,hcb,FALSE
18090N2_ddec,4.22E-05,0.941185015,0.6957,hcb,FALSE
18101N2_ddec,7.85E-06,0.712460291,0.6741,hcb,FALSE
18110N2_ddec,9.82E-06,0.963991031,0.62084,sql,FALSE
18112N2_ddec,4.85E-05,0.941732608,0.59082,sql,FALSE
18140N2_ddec,4.18E-05,0.917908107,0.65656,hcb,FALSE
18141N2_ddec,1.16E-05,0.87136843,0.63218,hcb,FALSE
19061N2_ddec,0.000469958,0.917826387,0.5795,hcb,FALSE
19070N2_ddec,3.07E-05,0.940388533,0.69848,hcb,FALSE
19090N2_ddec,0.000106251,0.932790325,0.68738,hcb,FALSE
19101N2_ddec,0.000155997,0.980128683,0.55994,hcb,TRUE
19102N2_ddec,5.42E-05,0.948394096,0.63196,hcb,FALSE
19120N2_ddec,4.66E-07,0.915556332,0.61174,hcb,FALSE
19130N2_ddec,4.27E-05,0.984817508,0.59404,fes,FALSE
19140N2_ddec,6.10E-06,0.878106712,0.4404,hcb,TRUE
19142N2_ddec,2.15E-05,0.918833876,0.6264,hcb,TRUE
19180N2_ddec,1.93E-06,0.901041875,0.71598,hcb,FALSE
19200N2_ddec,4.90E-07,0.905071882,0.3776,hcb,FALSE
19214N2_ddec,3.77E-05,0.973010511,0.67314,hcb,FALSE
19260N2_ddec,2.70E-05,0.951876892,0.409,hcb,FALSE
19280N2_ddec,1.77E-06,0.88619261,0.56724,kgm,TRUE
19281N2_ddec,5.12E-06,0.96449763,0.60454,kgm,TRUE
19282N2_ddec,9.35E-06,0.94118487,0.6295,kgm,TRUE
19290N2_ddec,8.90E-06,0.981476901,0.4544,tth,FALSE
19291N2_ddec,7.20E-07,0.934976165,0.33474,kgd,FALSE
19292N2_ddec,1.25E-05,0.953069839,0.35906,tth,TRUE
