Name,Tag
19292N2_ddec,fold_0
19466N2_ddec,fold_0
21014N2_ddec,fold_0
20021N2_ddec,fold_0
10020N2_ddec,fold_0
19560N2_ddec,fold_0
13072N2_ddec,fold_0
17000N2_ddec,fold_0
20470N2_ddec,fold_0
22458N2_ddec,fold_0
20403N2_ddec,fold_0
22271N2_ddec,fold_0
22272N2_ddec,fold_0
16000N2_ddec,fold_0
16172N2_ddec,fold_0
2245lN2_ddec,fold_0
15210N2_ddec,fold_0
22105N2_ddec,fold_0
21530N2_ddec,fold_0
20203N2_ddec,fold_0
19571N2_ddec,fold_0
19260N2_ddec,fold_0
21060N2_ddec,fold_0
16030N2_ddec,fold_0
21394N2_ddec,fold_0
19460N2_ddec,fold_0
19360N2_ddec,fold_0
21033N2_ddec,fold_0
16032N2_ddec,fold_0
20600N2_ddec,fold_0
16190N2_ddec,fold_0
15240N2_ddec,fold_0
15220N2_ddec,fold_0
17151N2_ddec,fold_0
221010N2_ddec,fold_0
22451N2_ddec,fold_0
11003N2_ddec,fold_0
21400N2_ddec,fold_0
21032N2_ddec,fold_0
19180N2_ddec,fold_0
20510N2_ddec,fold_0
22070N2_ddec,fold_0
16053N2_ddec,fold_0
18031N2_ddec,fold_0
15186N2_ddec,fold_0
19281N2_ddec,fold_0
18112N2_ddec,fold_0
17230N2_ddec,fold_0
22411N2_ddec,fold_0
16142N2_ddec,fold_0
2245hN2_ddec,fold_0
05001N2_ddec,fold_0
20167N2_ddec,fold_0
15021N2_ddec,fold_0
21320N2_ddec,fold_0
18070N2_ddec,fold_0
15170N2_ddec,fold_0
22440N2_ddec,fold_0
20141N2_ddec,fold_0
2245eN2_ddec,fold_0
20182N2_ddec,fold_0
07000N2_ddec,fold_0
21034N2_ddec,fold_0
12000N2_ddec,fold_0
2245jN2_ddec,fold_0
20530N2_ddec,fold_0
2245uN2_ddec,fold_0
20411N2_ddec,fold_0
21170N2_ddec,fold_0
22041N2_ddec,fold_0
16120N2_ddec,fold_0
13020N2_ddec,fold_0
2245bN2_ddec,fold_0
13121N2_ddec,fold_1
16010N2_ddec,fold_1
14070N2_ddec,fold_1
21011N2_ddec,fold_1
19540N2_ddec,fold_1
20201N2_ddec,fold_1
16400N2_ddec,fold_1
15162N2_ddec,fold_1
22453N2_ddec,fold_1
16150N2_ddec,fold_1
19280N2_ddec,fold_1
16171N2_ddec,fold_1
20700N2_ddec,fold_1
20280N2_ddec,fold_1
22420N2_ddec,fold_1
16002N2_ddec,fold_1
21071N2_ddec,fold_1
221012N2_ddec,fold_1
15131N2_ddec,fold_1
18101N2_ddec,fold_1
221013N2_ddec,fold_1
20331N2_ddec,fold_1
20202N2_ddec,fold_1
20401N2_ddec,fold_1
17060N2_ddec,fold_1
19330N2_ddec,fold_1
